logFC_DESeq2	FDR_DESeq2	pvalue_DESeq2	logFC_edgeR	FDR_edgeR	pvalue_edgeR	logFC_limma	FDR_limma	pvalue_limma	logFC_NOISeq	FDR_NOISeq	pvalue_NOISeq	DESeq2_DEG	edgeR_DEG	limma_DEG	NOISeq_DEG	DEG_counts	combined_FDR	FDR_labeling	mean_logFCs	genes_tag
ENSMUSG00000026822	7.16315067627787	2.05498279481949e-86	2.6012440440753e-88	7.17144545377325	2.6649486299305e-237	1.12445089870485e-239	7.61374137664163	7.53304477079633e-06	4.13204987427647e-07	6.37706973138143	0	1	TRUE	TRUE	TRUE	TRUE	4	0	SIGN	7.08135180951854	PREVALENT_DEG
ENSMUSG00000055493	-4.7627214292139	1.62138883533906e-131	6.84130310269645e-134	-4.7071851653442	1.04425684647111e-207	8.81229406304731e-210	-4.69529474181684	5.07910948386704e-08	2.14308417040803e-10	-1.69727986765452	0.00404601179036879	0.995953988209631	TRUE	TRUE	TRUE	TRUE	4	0	SIGN	-3.96562030100736	PREVALENT_DEG
ENSMUSG00000024164	3.94176064513537	2.82046290478229e-128	2.38013747239011e-130	3.98454015710747	3.80639906956318e-131	4.81822667033313e-133	3.98773231511957	8.91697697368274e-07	1.50497501665531e-08	3.46680351912845	0	1	TRUE	TRUE	TRUE	TRUE	4	4.76795280950821e-273	SIGN	3.84520915912272	PREVALENT_DEG
ENSMUSG00000097971	2.37797092080106	8.31805034971075e-84	1.40389035438156e-85	2.4229755080336	2.98457865182706e-90	6.2965794342343e-92	2.4165374363483	4.91471229228812e-07	4.14743653357647e-09	2.01424689870654	1.11022302462516e-16	1	TRUE	TRUE	TRUE	TRUE	4	2.05323403571389e-188	SIGN	2.30793269097237	PREVALENT_DEG
ENSMUSG00000034855	4.46055510404602	2.18410646425067e-19	1.47450225434645e-20	4.48588232500515	5.77035840874611e-126	9.73900153374871e-128	4.77611527092631	8.87910583708835e-06	5.61968723866351e-07	4.28149019797691	0	1	TRUE	TRUE	TRUE	TRUE	4	1.14260199719704e-158	SIGN	4.5010107244886	PREVALENT_DEG
ENSMUSG00000069516	2.42825826123111	6.23223215727437e-61	1.31481691081738e-62	2.47653525942233	2.53667456350207e-65	6.42196092025842e-67	2.46329457438567	4.2347156982574e-06	1.92369626449971e-07	2.1079567371484	6.66133814775094e-16	0.999999999999999	TRUE	TRUE	TRUE	TRUE	4	2.81151266197169e-139	SIGN	2.36901120804688	PREVALENT_DEG
ENSMUSG00000073418	1.75947068836362	7.55770487494203e-51	1.91334300631444e-52	1.80563298879396	3.14963749946287e-52	1.06316877619e-53	1.79904979203763	4.2347156982574e-06	1.44397639711157e-07	1.47519169815042	0	1	TRUE	TRUE	TRUE	TRUE	4	4.27748411363993e-117	SIGN	1.70983629183641	PREVALENT_DEG
ENSMUSG00000012428	3.67116429645159	2.63930317011332e-32	7.79541020708576e-34	3.70183112373183	2.85609766738389e-64	8.43573150704103e-66	3.6675911078057	7.31032941402955e-07	9.25358153674627e-09	3.30428543705285	1.45772283133283e-13	0.999999999999854	TRUE	TRUE	TRUE	TRUE	4	2.45550046744619e-108	SIGN	3.58621799126049	PREVALENT_DEG
ENSMUSG00000029371	3.74664761157953	1.07557145266752e-31	4.08444855443361e-33	3.77665119703792	1.9906557133511e-51	7.55945207601684e-53	3.76692371802638	8.01215652819672e-06	4.73291946813308e-07	3.2286013563782	4.1590064725483e-11	0.99999999995841	TRUE	TRUE	TRUE	TRUE	4	1.34893451651278e-91	SIGN	3.62970597075551	PREVALENT_DEG
ENSMUSG00000020932	1.40618476515774	1.11915410799984e-30	4.72216923206684e-32	1.45399421501919	5.80746533854247e-32	3.43057024217699e-33	1.44858061156476	4.19892171489746e-05	3.89773323745756e-06	1.19712577753931	0	1	TRUE	TRUE	TRUE	TRUE	4	3.3935133346912e-76	SIGN	1.37647134232025	PREVALENT_DEG
