CTL_1	CTL_2	CTL_3	CTL_4	epm2a_1	epm2a_2	epm2a_3
ENSMUSG00000102693	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0
ENSMUSG00000051951	497	687	645	585	563	533	478
ENSMUSG00000102851	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	1	1	2
ENSMUSG00000104017	0	2	0	0	0	4	0
ENSMUSG00000103025	0	1	0	2	2	0	1
ENSMUSG00000089699	0	0	0	1	0	0	0
ENSMUSG00000103201	0	0	0	1	0	1	3
ENSMUSG00000103147	0	0	0	0	0	0	0
ENSMUSG00000103161	1	1	0	1	0	0	0
ENSMUSG00000102331	9	10	7	8	6	9	5
ENSMUSG00000102348	5	3	3	4	6	9	9
ENSMUSG00000102592	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0
ENSMUSG00000025900	7	2	1	2	6	4	3
ENSMUSG00000102948	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0
ENSMUSG00000025902	45	38	44	31	59	49	51
ENSMUSG00000104238	0	0	0	0	0	0	0
ENSMUSG00000102269	3	0	3	4	0	2	0
ENSMUSG00000096126	0	0	1	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0	1
ENSMUSG00000102735	0	0	0	0	0	0	0
ENSMUSG00000098104	0	2	0	1	1	1	1
ENSMUSG00000102175	1	0	0	2	0	0	0
ENSMUSG00000088000	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0	0
ENSMUSG00000103922	1	0	0	1	0	3	0
ENSMUSG00000033845	436	354	341	367	312	405	439
ENSMUSG00000102275	5	1	4	3	5	2	0
ENSMUSG00000025903	418	445	380	396	401	431	407
ENSMUSG00000104217	0	0	0	0	0	0	0
ENSMUSG00000033813	441	475	440	455	471	492	479
ENSMUSG00000062588	1	0	0	0	1	0	0
ENSMUSG00000103280	25	33	26	24	29	35	33
ENSMUSG00000002459	300	252	253	250	266	279	316
ENSMUSG00000091305	0	1	1	0	0	0	1
ENSMUSG00000102653	2	1	1	2	0	4	2
ENSMUSG00000085623	0	0	0	0	0	0	0
ENSMUSG00000091665	1	0	0	0	1	0	1
ENSMUSG00000033793	2740	2693	2537	2683	2624	2679	2673
ENSMUSG00000104352	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	1	0	0
ENSMUSG00000102907	0	0	0	0	0	1	0
ENSMUSG00000025905	269	269	225	197	164	191	195
ENSMUSG00000103936	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0
ENSMUSG00000033774	18	19	23	10	14	18	22
ENSMUSG00000103090	0	0	0	0	0	0	0
ENSMUSG00000025907	2036	2204	1911	1932	1943	2008	1965
ENSMUSG00000090031	126	78	69	88	78	98	60
ENSMUSG00000087247	2	0	1	0	0	1	0
ENSMUSG00000103355	0	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0	0
ENSMUSG00000103845	14	21	18	19	10	11	16
ENSMUSG00000033740	476	544	491	544	423	566	489
ENSMUSG00000103329	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0
ENSMUSG00000102135	0	0	0	0	0	0	1
ENSMUSG00000103282	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0
ENSMUSG00000051285	2073	2267	1867	1958	1731	1998	1910
ENSMUSG00000098201	0	0	0	0	0	0	0
