Entrez	Control_w.value	Probiotic_w.value	logFC	P.Value	adj.P.Val	significance	gene_name	gene_description
LOC115579335	6.41520281363441	0.105785072907206	5.88250800434064	1.7393758491616e-12	3.43248430073551e-08	TRUE	LOC115579335	uncharacterized LOC115579335
LOC115578371	4.52648193180316	0.0739178548424316	6.00754349188062	2.34480999875294e-11	2.31362402576952e-07	TRUE	LOC115578371	apolipoprotein A-I-like
LOC115569844	0.163491116851222	0.954369200296524	-2.54820235107451	9.65126730410017e-11	5.3232034144586e-07	TRUE	LOC115569844	histone-lysine N-methyltransferase 2C-like
LOC115590067	43.7263660264788	2.35711603554599	4.21607814249179	1.07899126673935e-10	5.3232034144586e-07	TRUE	LOC115590067	uncharacterized LOC115590067
LOC115583589	2.73443858661877	0.0477881487239753	5.77299980793976	3.48134291561209e-10	1.37401642193378e-06	TRUE	LOC115583589	acidic mammalian chitinase-like
LOC115571939	16.2558409344829	3.29280322526198	2.30440375774394	1.03503655178032e-07	0.000340423521880547	TRUE	LOC115571939	uncharacterized LOC115571939
LOC115575999	102.482687063934	11.6065608731058	3.14416732975254	2.16218017577977e-07	0.000609549479840543	TRUE	LOC115575999	keratin%2C type I cytoskeletal 13-like
LOC115583470	16.1890591952186	1.39434131887088	3.5286823370418	3.55440982250015e-07	0.000779363593746867	TRUE	LOC115583470	insulin-like growth factor-binding protein 5
myo18a	2.01223051649536	5.97582695691161	-1.57096026244098	3.22586445433417e-07	0.000779363593746867	TRUE	myo18a	myosin XVIIIA
LOC115569521	4.85605641147788	0.981859341275243	2.29605392768635	4.13058045307105e-07	0.000815128746609041	TRUE	LOC115569521	phosphatidylinositol transfer protein alpha isoform-like
LOC115585365	10.9002674767865	1.13251080952608	3.28123322806903	5.04476067204801e-07	0.000905030064565414	TRUE	LOC115585365	galactose-specific lectin nattectin-like%2C transcript variant X1
LOC115582015	2.00405806353344	0.166506744194743	3.54811174659176	6.68867994701106e-07	0.00109995341728597	TRUE	LOC115582015	kelch-like protein 20%2C transcript variant X1
LOC115583106	1.10353961905447	0.0309016299165841	5.21618251702458	7.88341575809679e-07	0.0011112237612163	TRUE	LOC115583106	acidic mammalian chitinase-like%2C transcript variant X2
LOC115592650	99.4422464338587	35.7326152181029	1.47658329092096	7.39486738771028e-07	0.0011112237612163	TRUE	LOC115592650	collagen alpha-1(V) chain-like%2C transcript variant X2
LOC115583917	84.2043358111079	21.5453594312135	1.96674071835093	1.60400284821947e-06	0.00211022614711753	TRUE	LOC115583917	keratin%2C type II cytoskeletal 8-like
LOC115575130	0.959117906874497	0.0907708085916722	3.43014937814724	3.12039507305653e-06	0.00362222802186457	TRUE	LOC115575130	uncharacterized LOC115575130
LOC115584439	2.54693587829567	0.36341239046189	2.85932348414626	3.09104365140318e-06	0.00362222802186457	TRUE	LOC115584439	keratin%2C type I cytoskeletal 18-like
LOC115569885	1.6664787885097	0.119495283231327	3.87041299714292	3.55664266387845e-06	0.00368807639244074	TRUE	LOC115569885	NLR family CARD domain-containing protein 3-like
LOC115582944	0.665888284061288	3.18893100303678	-2.26795995989151	3.73778898595392e-06	0.00368807639244074	TRUE	LOC115582944	cysteine-rich protein 2-binding protein-like
LOC115589106	0.106858221263047	1.43762354634719	-3.753713658426	3.61713784195414e-06	0.00368807639244074	TRUE	LOC115589106	uncharacterized LOC115589106
LOC115572066	4.40411561610756	0.397428559103304	3.54999962712638	4.67119217291412e-06	0.00400788288436032	TRUE	LOC115572066	gastrotropin-like
LOC115579795	3.44029703993294	0.487747696269661	2.82857939874635	4.63973653200747e-06	0.00400788288436032	TRUE	LOC115579795	microfibril-associated glycoprotein 4-like%2C transcript variant X1
LOC115587980	5.0751981077298	14.736677538538	-1.53784611654121	4.30525401239695e-06	0.00400788288436032	TRUE	LOC115587980	titin-like
itpr3	0.0278453595792041	0.265004420687284	-3.22677529423606	6.09009594509445e-06	0.00500758139085391	TRUE	itpr3	inositol 1%2C4%2C5-trisphosphate receptor type 3%2C transcript variant X2
lect2	94.5011345695405	18.3744629814344	2.36426602068513	7.36718653480814e-06	0.00581536236311616	TRUE	lect2	leukocyte cell derived chemotaxin 2
LOC115570800	3.68162979250019	0.451445100720691	3.02625079778421	8.04921427525506e-06	0.00610935363491859	TRUE	LOC115570800	parvalbumin%2C thymic CPV3-like
LOC115581334	0.270821970039535	2.27433707703542	-3.06126480786667	9.75494850299618e-06	0.00712978347252321	TRUE	LOC115581334	paxillin-like%2C transcript variant X2
LOC115584725	1.69317559554715	4.89595230247342	-1.53106078678284	1.18990034570676e-05	0.00838624765077759	TRUE	-	None
LOC115566283	0.50757097196487	2.21800502210761	-2.1339948223222	1.28938123086509e-05	0.00848154973663056	TRUE	-	None
LOC115578815	71.9224702632703	7.13556507471896	3.33921271422336	1.25786806490882e-05	0.00848154973663056	TRUE	LOC115578815	type-4 ice-structuring protein LS-12-like
LOC115585189	4.15182020249356	0.46844755493328	3.17105540436863	1.37951174428437e-05	0.00878170476184123	TRUE	LOC115585189	deoxycytidylate deaminase-like
LOC115589519	0.229462571536054	0.924843584901095	-2.0141848396572	1.59779767960471e-05	0.00985341856541228	TRUE	LOC115589519	protein mono-ADP-ribosyltransferase PARP14-like
zbtb20	0.225362249473646	1.0439508475305	-2.21471483395311	1.64876949654568e-05	0.00985964158934317	TRUE	zbtb20	zinc finger and BTB domain containing 20%2C transcript variant X1
LOC115581553	1.77092644256543	0.0584696434428491	4.97266034385511	1.80661826164308e-05	0.0104858249339013	TRUE	LOC115581553	proheparin-binding EGF-like growth factor
adamtsl5	0.0355742093110331	0.480214139129817	-3.73965843378839	1.91090317633199e-05	0.0105468582409905	TRUE	adamtsl5	ADAMTS like 5
plac8	1.78779917981727	0.18649352032849	3.2731167848721	1.92402400261304e-05	0.0105468582409905	TRUE	plac8	placenta associated 8
LOC115581598	15.1975264872652	2.0185143052316	2.9099541792426	2.30888791259092e-05	0.0116284003370156	TRUE	LOC115581598	tenascin-like%2C transcript variant X4
gcnt3	0.648420623113892	0.0320133927718009	4.39851882848409	2.33314122985309e-05	0.0116284003370156	TRUE	gcnt3	glucosaminyl (N-acetyl) transferase 3%2C mucin type
meltf	0.633681150021493	0.0130091760304978	5.64939850426811	2.35702854707927e-05	0.0116284003370156	TRUE	meltf	melanotransferrin
nccrp1	46.1829321942224	13.9593452909813	1.7256521953757	2.31733578780378e-05	0.0116284003370156	TRUE	nccrp1	NCCRP1%2C F-box associated domain containing
LOC115593825	1.28300332924619	0.0367106995687476	5.17684538616246	2.86570728963135e-05	0.0137931384520939	TRUE	LOC115593825	classical arabinogalactan protein 9-like
lonrf2	1.35787396438249	3.39421651081987	-1.32098654033651	3.36038869013831e-05	0.0157890262883785	TRUE	lonrf2	LON peptidase N-terminal domain and ring finger 2
agr2	20.0604244312821	4.53534256740684	2.14580568493658	3.63080726946754e-05	0.0166628722455052	TRUE	agr2	anterior gradient 2%2C protein disulphide isomerase family member%2C transcript variant X2
LOC115580389	2.31367013195977	0.533280682590934	2.11746371789856	3.72620831706726e-05	0.0167120443020466	TRUE	LOC115580389	mucin-2-like
LOC115582399	0.177689632800832	1.65416771081533	-3.23675766509037	4.16354662593793e-05	0.0178616150252737	TRUE	LOC115582399	vesicle-associated membrane protein 5-like%2C transcript variant X1
LOC115586314	16.5039459949541	1.6991026125574	3.28079683845074	4.13388436142671e-05	0.0178616150252737	TRUE	LOC115586314	myosin heavy chain%2C fast skeletal muscle-like
LOC115578317	0.410101658057547	1.89404546969344	-2.20881509382293	4.45239272551738e-05	0.0178679346030573	TRUE	-	None
LOC115583230	1.00272780060308	4.0564213513172	-2.02090204032341	4.36997228409713e-05	0.0178679346030573	TRUE	LOC115583230	butyrophilin-like protein 1%2C transcript variant X5
LOC115588436	1.98444535251589	0.210200836524378	3.23770582988373	4.38814503236701e-05	0.0178679346030573	TRUE	LOC115588436	ladderlectin-like%2C transcript variant X2
smoc1	6.50854797247451	2.28648600370904	1.50995239967558	4.52719534890477e-05	0.0178679346030573	TRUE	smoc1	SPARC related modular calcium binding 1%2C transcript variant X8
LOC115583989	11.5882030225337	3.01736913184472	1.93999906230718	4.98120945378569e-05	0.0192743504629425	TRUE	LOC115583989	cysteine and glycine-rich protein 1-like
smpd3	0.0363050234535177	0.460925110888516	-3.65771999246462	5.15078283145722e-05	0.0195472208453802	TRUE	smpd3	sphingomyelin phosphodiesterase 3%2C transcript variant X2
LOC115571480	4.28948006703412	0.452673265544707	3.25309282823059	6.81073288644639e-05	0.0253590571285157	TRUE	LOC115571480	neoverrucotoxin subunit beta-like
LOC115566776	1.63220610655514	0.317494050996752	2.37741824636535	7.24627981773229e-05	0.0256704054052425	TRUE	LOC115566776	uncharacterized LOC115566776
LOC115571563	1.55347198980422	0.2426205644512	2.64227717995545	7.28459867585679e-05	0.0256704054052425	TRUE	LOC115571563	matrix metalloproteinase-17-like
LOC115582546	1.41192268677773	0.124404973147111	3.4630469933671	7.09996502096585e-05	0.0256704054052425	TRUE	LOC115582546	gamma-glutamyl hydrolase-like
LOC115579453	1.88974829103621	0.218638684041321	3.18238719789643	7.42397916825982e-05	0.0257025973520069	TRUE	LOC115579453	ras-related protein Rab-25-like
LOC115595925	3.77590444368073	0.665127500878887	2.50686181064661	7.62546974568788e-05	0.0259450034416215	TRUE	LOC115595925	uncharacterized LOC115595925
LOC115597259	0.140585976427004	1.7168394014532	-3.60110471376788	8.12493703256625e-05	0.0271758487119767	TRUE	-	None
LOC115574657	0.314675639660544	0.0266232342885399	3.59361147319927	8.64988158368291e-05	0.0284494605287331	TRUE	LOC115574657	apolipoprotein B-100-like
LOC115575230	0.124118719009898	0.633308822742335	-2.36113328195951	9.03421937104595e-05	0.0292264401751182	TRUE	LOC115575230	adhesion G protein-coupled receptor L1-like%2C transcript variant X2
dcx	3.61720577126624	1.03518389991452	1.79482941251754	9.55270774410553e-05	0.0304053442938998	TRUE	dcx	doublecortin
LOC115590628	1.03532365609931	0.113351399150009	3.0880472059911	0.000101423368053696	0.0312732616433068	TRUE	LOC115590628	L-amino-acid oxidase-like
pdcd6	18.9234883639012	8.04677911638371	1.23489773776924	0.000100385756030967	0.0312732616433068	TRUE	pdcd6	programmed cell death 6
LOC115567921	1.48292510314063	3.50144771210614	-1.23938816403921	0.000108145337099116	0.031489426459707	TRUE	LOC115567921	period circadian protein homolog 2-like%2C transcript variant X1
LOC115582808	2.47137161741406	7.3564577181692	-1.5724447164759	0.000111928830469549	0.031489426459707	TRUE	LOC115582808	purine nucleoside phosphorylase-like
LOC115584045	1.18739034700241	0.194189999721443	2.65708417885548	0.000113866258714116	0.031489426459707	TRUE	LOC115584045	ETS-related transcription factor Elf-3-like%2C transcript variant X2
LOC115585214	15.8947807710488	5.24552068976459	1.59766152494941	0.000114293447725656	0.031489426459707	TRUE	LOC115585214	tubulin alpha-1B chain-like%2C transcript variant X2
LOC115586307	1.22948741799892	3.71052071539666	-1.5941942662924	0.000106199299978914	0.031489426459707	TRUE	LOC115586307	homeodomain-interacting protein kinase 3-like%2C transcript variant X1
LOC115587179	0.34059521009729	1.73651423262843	-2.35429850428016	0.000114558899993623	0.031489426459707	TRUE	LOC115587179	receptor-type tyrosine-protein phosphatase beta-like%2C transcript variant X4
LOC115597247	2.89202596401436	0.296655367834377	3.25237810096511	0.000108354211305436	0.031489426459707	TRUE	LOC115597247	matrilin-3-like%2C transcript variant X7
ttbk1	0.0524455969482435	0.413566383690266	-2.96048655969147	0.000114889971880962	0.031489426459707	TRUE	ttbk1	tau tubulin kinase 1%2C transcript variant X3
LOC115576785	0.75011729123524	0.105506524550833	2.85529465167746	0.000119847911919888	0.0323983382716036	TRUE	LOC115576785	sodium/hydrogen exchanger 2-like
LOC115567352	0.0423919097514198	0.990130305765059	-4.53495058984528	0.000127681846137509	0.0332584580483182	TRUE	LOC115567352	uncharacterized LOC115567352%2C transcript variant X1
LOC115576012	0.212103386391207	0.944113248316881	-2.14862182280557	0.000130598564205897	0.0332584580483182	TRUE	LOC115576012	histone acetyltransferase KAT7-like%2C transcript variant X3
LOC115577031	0.17953979533666	0.841101935493035	-2.2289489280492	0.000125375812686201	0.0332584580483182	TRUE	LOC115577031	growth hormone receptor-like
LOC115593056	4.54375926888212	0.767030296988687	2.55534273136978	0.000131456355922206	0.0332584580483182	TRUE	LOC115593056	G8 domain-containing protein DDB_G0286311-like
gale	5.46600722954966	1.46396629679895	1.8924136933391	0.000128259445500936	0.0332584580483182	TRUE	gale	UDP-galactose-4-epimerase%2C transcript variant X3
LOC115597207	9.91825879304804	2.25678874899796	2.1296281850883	0.000134844697805142	0.0336838641327426	TRUE	LOC115597207	DNA damage-inducible transcript 4 protein-like
nop58	33.4732966701367	11.5445209162861	1.535023297776	0.000138007381370731	0.0340429707996251	TRUE	nop58	NOP58 ribonucleoprotein%2C transcript variant X2
LOC115574970	0.664688408136505	0.0240711955003604	4.8280905656609	0.000142586974745586	0.0347384118472765	TRUE	LOC115574970	uncharacterized LOC115574970
LOC115582012	0.0485293312123945	0.350190348855253	-2.8323573638421	0.00015097788422302	0.035907401621439	TRUE	LOC115582012	potassium channel subfamily T member 1-like%2C transcript variant X21
LOC115592335	0.932730440905067	0.113216014884949	3.11704966224002	0.000151024340457051	0.035907401621439	TRUE	LOC115592335	drebrin-like protein A%2C transcript variant X1
tnfaip6	19.2838729667288	2.44654384436191	2.96341246286812	0.000153058940843161	0.0359579183166541	TRUE	tnfaip6	TNF alpha induced protein 6
LOC115570587	0.42242340625624	0.0217984221106915	4.33035950895334	0.000185986124357114	0.0370732341218513	TRUE	LOC115570587	mucin-13-like%2C transcript variant X2
LOC115578378	665.439269178302	233.098030022293	1.51316897631321	0.00018576659263943	0.0370732341218513	TRUE	LOC115578378	protein S100-A1-like
LOC115580036	0.52679284305684	1.43301224578209	-1.44470737813343	0.000165569481274797	0.0370732341218513	TRUE	LOC115580036	unconventional myosin-Va-like%2C transcript variant X1
LOC115583152	0.0725108446146215	0.334708578189238	-2.20359177209956	0.000178512480713547	0.0370732341218513	TRUE	LOC115583152	inositol 1%2C4%2C5-trisphosphate receptor type 1-like
LOC115584948	4.79655496401098	0.468888500523998	3.36832718597442	0.00016688967107638	0.0370732341218513	TRUE	LOC115584948	galactose-specific lectin nattectin-like
LOC115589789	2.01722632473064	0.458471774510693	2.15120195760729	0.000176080656919346	0.0370732341218513	TRUE	LOC115589789	uncharacterized LOC115589789
LOC115592426	38.823333631744	5.48877186030539	2.82069165056515	0.000176999924670993	0.0370732341218513	TRUE	LOC115592426	thrombospondin-4-B-like
LOC115595198	4.80632505986627	0.537376388371504	3.17677918263827	0.000183342966219977	0.0370732341218513	TRUE	LOC115595198	fish-egg lectin-like
adgrg6	0.449545673190538	1.23230969892377	-1.45343998173263	0.000181910075697367	0.0370732341218513	TRUE	adgrg6	adhesion G protein-coupled receptor G6%2C transcript variant X1
cenpw	6.85212811661971	1.92809609625067	1.82180859337601	0.000182495021284038	0.0370732341218513	TRUE	cenpw	centromere protein W
cytl1	29.0627979559447	7.91119225769515	1.87408080611596	0.000185363952884199	0.0370732341218513	TRUE	cytl1	cytokine like 1
mast4	1.65181569328204	6.50103520350661	-1.97615175661851	0.000181817592690797	0.0370732341218513	TRUE	mast4	microtubule associated serine/threonine kinase family member 4%2C transcript variant X13
mpz	5.69583864470735	15.8041177742621	-1.47307160719284	0.000162861642981585	0.0370732341218513	TRUE	mpz	myelin protein zero%2C transcript variant X3
mylk	0.225149627968729	0.98604310820459	-2.14104405580776	0.000183977584790479	0.0370732341218513	TRUE	mylk	myosin light chain kinase
tgfbi	112.018286278252	30.5333503566723	1.87494389941542	0.0001850126629833	0.0370732341218513	TRUE	tgfbi	transforming growth factor beta induced
LOC115566499	6.0782233479026	2.25973912168204	1.42989973591281	0.00019807450072853	0.0390880219737681	TRUE	LOC115566499	egl nine homolog 3-like%2C transcript variant X1
LOC115575080	2.6972741327291	7.51169786054975	-1.47697018363019	0.000208692903912492	0.0393690256070721	TRUE	LOC115575080	potassium voltage-gated channel subfamily A member 7-like%2C transcript variant X2
LOC115579326	0.0657701398297844	1.88936535228219	-4.8473283790077	0.000208759853924825	0.0393690256070721	TRUE	LOC115579326	bromodomain-containing protein 2-like
LOC115585947	0.826502517011955	2.8377346276091	-1.77895218342957	0.000214080129197532	0.0393690256070721	TRUE	LOC115585947	transient receptor potential cation channel subfamily M member 1-like%2C transcript variant X3
LOC115588192	47.3160011696317	10.0623460636976	2.23293139261006	0.000207307806150378	0.0393690256070721	TRUE	LOC115588192	fibronectin-like
LOC115588611	0.0139925844427248	0.406249408326819	-4.87848765952225	0.000213340142136191	0.0393690256070721	TRUE	-	None
LOC115597741	0.471017621545186	1.45159770926419	-1.6219063279947	0.000205713029247416	0.0393690256070721	TRUE	LOC115597741	dynactin subunit 1-like%2C transcript variant X3
ebp	2.57757676178026	0.395855279368044	2.67599295655667	0.000215458334122012	0.0393690256070721	TRUE	ebp	EBP cholestenol delta-isomerase
ufm1	33.5696321966608	15.340990489437	1.12904066150641	0.000214471927627515	0.0393690256070721	TRUE	ufm1	ubiquitin fold modifier 1
LOC115590097	0.143290776105585	4.08370896454469	-4.84898571269239	0.000221235593752711	0.0400537908909725	TRUE	-	None
LOC115575925	0.526624246050811	0.0735912160807047	2.78217010256565	0.000226588004462852	0.0406498880006357	TRUE	LOC115575925	envoplakin-like
xirp2	0.723512862927951	2.34430752088233	-1.69651636528661	0.000239617554274468	0.0426001154599311	TRUE	xirp2	xin actin binding repeat containing 2%2C transcript variant X1
mmp9	4.27927523697752	0.979884528567084	2.11336810029698	0.000247015099543806	0.0435231783428345	TRUE	mmp9	matrix metallopeptidase 9
cep290	0.205362758421474	0.76596576935548	-1.90221975439636	0.000261181000918006	0.0456119103727073	TRUE	cep290	centrosomal protein 290%2C transcript variant X1
sipa1l2	0.668266648764857	1.7219601881389	-1.36440447777973	0.000271685162765998	0.0470301315967036	TRUE	sipa1l2	signal induced proliferation associated 1 like 2%2C transcript variant X3
ncoa7	4.95894765855512	1.30283346186107	0.912374706544765	0.000288719066539574	0.0495441918181909	TRUE	ncoa7	nuclear receptor coactivator 7%2C transcript variant X2
rc3h2	0.541860377112353	1.67635262526235	-1.63412244073494	0.00029176923060721	0.0496359827310577	TRUE	rc3h2	ring finger and CCCH-type domains 2%2C transcript variant X7
