CTL_1	CTL_2	CTL_3	CTL_4	epm2a_1	epm2a_2	epm2a_3
ENSMUSG00000102693	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0
ENSMUSG00000051951	497	687	645	585	563	533	478
ENSMUSG00000102851	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	1	1	2
ENSMUSG00000104017	0	2	0	0	0	4	0
ENSMUSG00000103025	0	1	0	2	2	0	1
ENSMUSG00000089699	0	0	0	1	0	0	0
ENSMUSG00000103201	0	0	0	1	0	1	3
ENSMUSG00000103147	0	0	0	0	0	0	0
ENSMUSG00000055493	624	695	600	671	20	30	27
ENSMUSG00000024164	88	108	97	64	1084	1520	1829
ENSMUSG00000026822	8	5	6	0	603	703	888
ENSMUSG00000097971	331	257	244	223	1518	1313	1552
ENSMUSG00000069516	344	270	305	273	1206	2210	1798
ENSMUSG00000073418	896	788	724	702	2102	3030	3380
