CTL_1	CTL_2	CTL_3	CTL_4	epm2a_1	epm2a_2	epm2a_3
ENSMUSG00000102693	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0
ENSMUSG00000051951	497	687	645	585	563	533	478
ENSMUSG00000102851	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	1	1	2
ENSMUSG00000104017	0	2	0	0	0	4	0
ENSMUSG00000103025	0	1	0	2	2	0	1
ENSMUSG00000089699	0	0	0	1	0	0	0
ENSMUSG00000103201	0	0	0	1	0	1	3
ENSMUSG00000103147	0	0	0	0	0	0	0
ENSMUSG00000103161	1	1	0	1	0	0	0
ENSMUSG00000102331	9	10	7	8	6	9	5
ENSMUSG00000102348	5	3	3	4	6	9	9
ENSMUSG00000102592	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0
