Organism	Mart	Dataset	KeggCode	Attribute_GOs	Attribute_entrez	biomaRt_Host	E	R	Bioconductor_DB	Bioconductor_VarName	Reactome_ID	Bioconductor_VarName_SYMBOL
Aegilops	plants_mart	ataushii_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Amborella	plants_mart	atrichopoda_eg_gene	atr	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Arabidopsis_l	plants_mart	alyrata_eg_gene	aly	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Arabidopsis_th	plants_mart	athaliana_eg_gene	ath	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Arabidopsis	plants_mart	alyrata_eg_gene	arabidopsis	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide	org.At.tair.db			
Ailuropoda	ENSEMBL_MART_ENSEMBL	amelanoleuca_gene_ensembl	aml	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Anas	ENSEMBL_MART_ENSEMBL	aplatyrhynchos_Gene_ensembl	apla	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Anolis	ENSEMBL_MART_ENSEMBL	acarolinensis_gene_ensembl	acs	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Astyanax	ENSEMBL_MART_ENSEMBL	amexicanus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Bovine	ENSEMBL_MART_ENSEMBL	btaurus_gene_ensembl	bta	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Bt.eg.db	org.Bt.egENSEMBL2EG		
Brachypodium	plants_mart	bdistachyon_eg_gene	bdi	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Brassica	plants_mart	boleracea_eg_gene	boe	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Brassica_r	plants_mart	brapa_eg_gene	brp	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Caenorhabditis	ENSEMBL_MART_ENSEMBL	celegans_gene_ensembl	cel	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
