	NIW_0_MPI_1	NIW_0_MPI_2	NIW_0_MPI_3	IW_0_MPI_1	IW_0_MPI_2	IW_0_MPI_3
VIT_00s1217g00010	1136	1409	1290	1203	1819	1543
VIT_13s0019g01550	0	0	0	0	0	0
VIT_13s0019g04350	694	632	577	752	769	733
VIT_10s0116g00780	372	486	458	235	342	334
VIT_18s0001g01850	422	400	490	225	339	295
VIT_04s0043g00400	622	816	837	752	731	755
VIT_05s0049g01970	461	407	355	424	389	429
VIT_15s0046g00840	0	0	0	0	0	0
VIT_05s0029g00470	411	354	300	305	295	317
VIT_10s0003g01040	18	10	14	25	37	24
VIT_13s0084g00690	36	33	33	32	14	36
VIT_10s0003g00480	45	19	12	49	29	45
VIT_16s0039g00700	1111	1095	948	957	2088	1698
VIT_18s0001g07360	72	68	77	90	81	70
VIT_10s0003g02570	0	0	0	0	1	0
VIT_05s0077g00720	0	0	3	1	3	2
VIT_14s0030g00710	976	611	592	667	722	740
VIT_06s0009g01100	0	0	0	0	0	0
VIT_17s0000g04630	1328	1402	1485	1519	1465	1585
VIT_15s0021g01330	6646	8312	9585	11669	9922	11647
VIT_09s0002g05340	0	0	0	0	0	0
VIT_00s1314g00010	101	156	75	104	132	122
VIT_09s0002g04590	938	942	753	709	902	892
VIT_00s0941g00020	36	67	48	101	94	107
VIT_04s0008g00050	4	1	3	4	3	2
VIT_06s0004g04830	0	0	0	0	0	0
VIT_12s0059g00490	0	0	0	17	24	24
VIT_14s0066g00140	9092	10170	12264	9190	12666	11904
VIT_13s0019g00470	27	34	27	29	53	32
VIT_12s0028g03640	2	2	0	2	1	0
VIT_19s0085g00600	523	617	498	695	539	727
VIT_10s0003g02890	85678	85456	88941	94777	93033	100632
VIT_16s0013g01970	0	0	0	0	0	0
VIT_14s0006g03100	273	198	313	137	157	135
VIT_03s0038g03960	3683	3341	2674	3149	4557	4213
VIT_14s0083g00040	0	0	0	0	0	0
VIT_08s0056g00100	1696	1705	1297	1375	1767	1724
VIT_15s0046g00030	47	73	57	64	91	71
VIT_13s0101g00500	58	100	63	66	60	63
VIT_08s0056g00250	84	58	34	119	108	109
VIT_12s0034g01950	3	2	1	167	15	109
VIT_02s0025g00050	16	21	24	21	11	17
VIT_06s0004g08160	879	946	917	963	889	930
VIT_16s0013g01720	0	0	0	0	0	0
VIT_07s0005g00870	7	13	8	405	95	264
VIT_19s0014g03250	399	497	328	293	585	458
VIT_17s0053g01040	0	0	0	0	0	0
VIT_13s0019g02710	852	1249	979	640	342	560
VIT_11s0016g01430	39	35	41	53	48	47
VIT_04s0008g05590	6116	5347	5239	4561	8011	7103
VIT_00s0357g00080	15	6	2	12	6	12
VIT_15s0048g02190	691	721	604	513	731	707
VIT_07s0005g05990	230	251	213	149	175	184
VIT_12s0034g01080	1477	1407	1641	1242	1052	1276
VIT_01s0011g01510	1162	1017	962	858	999	1028
VIT_08s0056g00040	1224	1208	1100	1194	1191	1330
VIT_13s0067g01900	423	528	513	397	440	392
VIT_01s0010g01460	271	394	387	385	325	457
VIT_17s0000g04310	989	1597	1623	1487	1289	1426
VIT_03s0091g00880	34	23	18	2	12	16
VIT_17s0000g06130	4	1	4	6	5	1
VIT_19s0014g04710	4014	5521	5616	3948	6046	5247
VIT_07s0031g01140	0	0	0	0	0	0
VIT_07s0141g00210	1807	1996	2430	2222	2029	2287
VIT_06s0004g07000	5	3	4	2	3	3
VIT_04s0008g00890	25	17	13	16	32	21
VIT_18s0001g10220	0	2	2	1	1	5
VIT_16s0098g01070	321	386	295	328	188	270
VIT_09s0002g02440	807	795	730	511	532	629
VIT_00s0370g00070	141	161	117	189	208	213
VIT_03s0038g04380	0	0	0	0	0	0
VIT_10s0003g03510	2078	1865	2392	3020	1592	2489
VIT_07s0151g00290	588	754	524	675	406	556
VIT_16s0050g00860	236	230	287	211	256	251
VIT_04s0023g03710	490	725	514	609	498	635
VIT_02s0025g04360	1	1	0	2	1	3
VIT_08s0058g00690	974	288	240	168	154	172
VIT_17s0000g03370	293	52	90	67	42	67
VIT_04s0159g00030	41	34	30	52	59	41
VIT_00s0233g00020	3	4	3	1	4	5
VIT_17s0000g02980	0	0	0	0	0	0
VIT_04s0008g05380	32	33	38	76	96	73
VIT_05s0020g02860	587	559	539	453	415	468
VIT_14s0066g00370	693	762	599	998	772	911
VIT_13s0067g02090	735	370	524	675	514	748
VIT_19s0085g00680	470	391	425	464	635	636
VIT_03s0167g00150	0	0	0	0	0	0
VIT_03s0038g00370	999	907	951	863	1104	1033
VIT_07s0005g06150	912	758	693	649	976	834
VIT_11s0016g04010	413	441	318	305	334	375
VIT_15s0048g02140	997	1074	972	898	1007	1003
VIT_09s0018g01110	0	0	0	0	0	0
VIT_09s0002g08870	0	0	0	0	0	0
VIT_05s0020g01450	23	18	18	25	11	22
VIT_04s0008g05630	739	659	592	393	536	521
VIT_14s0108g00730	304	267	266	181	205	208
VIT_09s0054g00640	39	142	141	80	42	67
VIT_08s0056g01440	18	16	31	55	50	46
VIT_11s0016g00740	311	276	300	188	153	196
VIT_17s0000g01720	1534	2519	2497	2460	2190	2317
VIT_16s0050g02330	529	367	321	283	373	317
VIT_10s0003g05730	0	0	0	0	0	0
VIT_04s0023g00860	294	295	252	297	342	327
VIT_04s0023g00500	2	5	3	1	9	3
VIT_00s0341g00020	782	738	681	736	891	856
VIT_18s0089g01290	1	0	0	1	0	1
VIT_10s0042g01520	0	0	0	0	0	0
VIT_00s0211g00110	0	1	0	2	2	1
VIT_17s0000g04130	682	563	567	811	805	858
VIT_18s0001g06420	0	0	0	0	0	0
VIT_04s0008g05140	32	26	30	65	24	44
VIT_00s0120g00270	1	1	1	1	6	3
VIT_05s0029g01370	2460	2684	2570	1616	1870	1938
VIT_10s0003g02830	627	530	492	473	497	472
