Gene	Prediction
ENSMUSG00000055493	TRUE
ENSMUSG00000024164	TRUE
ENSMUSG00000026822	TRUE
ENSMUSG00000097971	TRUE
ENSMUSG00000069516	TRUE
ENSMUSG00000073418	TRUE
ENSMUSG00000012428	TRUE
ENSMUSG00000021091	TRUE
ENSMUSG00000029371	TRUE
ENSMUSG00000020932	TRUE
ENSMUSG00000064246	TRUE
ENSMUSG00000003617	TRUE
ENSMUSG00000093483	TRUE
ENSMUSG00000046805	TRUE
ENSMUSG00000084890	TRUE
ENSMUSG00000034855	TRUE
ENSMUSG00000030579	TRUE
ENSMUSG00000001131	TRUE
ENSMUSG00000105504	TRUE
ENSMUSG00000022146	TRUE
ENSMUSG00000029561	TRUE
ENSMUSG00000021281	TRUE
ENSMUSG00000021423	TRUE
ENSMUSG00000050335	TRUE
ENSMUSG00000028270	TRUE
ENSMUSG00000000682	TRUE
ENSMUSG00000028859	TRUE
ENSMUSG00000030124	TRUE
ENSMUSG00000018774	TRUE
ENSMUSG00000029622	TRUE
ENSMUSG00000026153	TRUE
ENSMUSG00000033569	TRUE
ENSMUSG00000025905	TRUE
ENSMUSG00000025777	TRUE
ENSMUSG00000026158	TRUE
ENSMUSG00000051285	TRUE
ENSMUSG00000057715	TRUE
ENSMUSG00000067736	TRUE
ENSMUSG00000026141	TRUE
ENSMUSG00000025931	TRUE
ENSMUSG00000101939	TRUE
ENSMUSG00000026058	TRUE
ENSMUSG00000079658	TRUE
ENSMUSG00000026126	TRUE
ENSMUSG00000046101	TRUE
ENSMUSG00000042182	TRUE
ENSMUSG00000025937	TRUE
ENSMUSG00000025909	TRUE
ENSMUSG00000051951	TRUE
ENSMUSG00000041859	TRUE
ENSMUSG00000048960	FALSE
ENSMUSG00000026123	FALSE
ENSMUSG00000025907	FALSE
ENSMUSG00000104002	FALSE
ENSMUSG00000026156	FALSE
ENSMUSG00000089787	FALSE
ENSMUSG00000096375	FALSE
ENSMUSG00000102336	FALSE
ENSMUSG00000097797	FALSE
ENSMUSG00000028033	FALSE
ENSMUSG00000033740	FALSE
ENSMUSG00000033793	FALSE
ENSMUSG00000045210	FALSE
ENSMUSG00000016918	FALSE
ENSMUSG00000042686	FALSE
ENSMUSG00000032769	FALSE
ENSMUSG00000103845	FALSE
ENSMUSG00000092083	FALSE
ENSMUSG00000042596	FALSE
ENSMUSG00000102348	FALSE
ENSMUSG00000085125	FALSE
ENSMUSG00000073725	FALSE
ENSMUSG00000067780	FALSE
ENSMUSG00000025902	FALSE
ENSMUSG00000067851	FALSE
ENSMUSG00000090031	FALSE
ENSMUSG00000099503	FALSE
ENSMUSG00000102250	FALSE
ENSMUSG00000102269	FALSE
ENSMUSG00000102937	FALSE
ENSMUSG00000025776	FALSE
ENSMUSG00000097893	FALSE
ENSMUSG00000048874	FALSE
ENSMUSG00000103377	FALSE
ENSMUSG00000042501	FALSE
ENSMUSG00000082935	FALSE
ENSMUSG00000025920	FALSE
ENSMUSG00000025916	FALSE
ENSMUSG00000081441	FALSE
ENSMUSG00000102296	FALSE
ENSMUSG00000025934	FALSE
ENSMUSG00000025903	FALSE
ENSMUSG00000025927	FALSE
ENSMUSG00000101249	FALSE
ENSMUSG00000102659	FALSE
ENSMUSG00000025917	FALSE
ENSMUSG00000100053	FALSE
ENSMUSG00000102556	FALSE
ENSMUSG00000103201	FALSE
ENSMUSG00000109887	FALSE
ENSMUSG00000025911	FALSE
ENSMUSG00000025912	FALSE
ENSMUSG00000025935	FALSE
ENSMUSG00000042197	FALSE
ENSMUSG00000045174	FALSE
ENSMUSG00000066693	FALSE
ENSMUSG00000097934	FALSE
ENSMUSG00000099906	FALSE
ENSMUSG00000100280	FALSE
ENSMUSG00000102070	FALSE
ENSMUSG00000102175	FALSE
ENSMUSG00000102331	FALSE
ENSMUSG00000102495	FALSE
ENSMUSG00000103001	FALSE
ENSMUSG00000103161	FALSE
ENSMUSG00000103209	FALSE
ENSMUSG00000103889	FALSE
ENSMUSG00000103933	FALSE
ENSMUSG00000104100	FALSE
ENSMUSG00000104138	FALSE
ENSMUSG00000067879	FALSE
ENSMUSG00000025900	FALSE
ENSMUSG00000025915	FALSE
ENSMUSG00000025933	FALSE
ENSMUSG00000025936	FALSE
ENSMUSG00000026124	FALSE
ENSMUSG00000026127	FALSE
ENSMUSG00000026147	FALSE
ENSMUSG00000033845	FALSE
ENSMUSG00000041779	FALSE
ENSMUSG00000041809	FALSE
ENSMUSG00000054493	FALSE
ENSMUSG00000061024	FALSE
ENSMUSG00000067795	FALSE
ENSMUSG00000070960	FALSE
ENSMUSG00000079671	FALSE
ENSMUSG00000081402	FALSE
ENSMUSG00000086240	FALSE
ENSMUSG00000087247	FALSE
ENSMUSG00000097711	FALSE
ENSMUSG00000097970	FALSE
ENSMUSG00000099343	FALSE
ENSMUSG00000100862	FALSE
ENSMUSG00000101223	FALSE
ENSMUSG00000101462	FALSE
ENSMUSG00000102121	FALSE
ENSMUSG00000102275	FALSE
ENSMUSG00000102386	FALSE
ENSMUSG00000102398	FALSE
ENSMUSG00000102457	FALSE
ENSMUSG00000102465	FALSE
ENSMUSG00000102531	FALSE
ENSMUSG00000102664	FALSE
ENSMUSG00000102982	FALSE
ENSMUSG00000103214	FALSE
ENSMUSG00000103280	FALSE
ENSMUSG00000103364	FALSE
ENSMUSG00000103563	FALSE
ENSMUSG00000103746	FALSE
ENSMUSG00000103748	FALSE
ENSMUSG00000103783	FALSE
ENSMUSG00000103825	FALSE
ENSMUSG00000104027	FALSE
ENSMUSG00000104165	FALSE
